Removed Pin From Net: NetName=GND Pin=C6-2
Removed Pin From Net: NetName=GND Pin=C7-2
Removed Pin From Net: NetName=VCC Pin=C8-1
Removed Pin From Net: NetName=GND Pin=C8-2
Removed Pin From Net: NetName=GND Pin=C9-1
Removed Pin From Net: NetName=VCC Pin=C9-2
Removed Pin From Net: NetName=GND Pin=C10-1
Removed Pin From Net: NetName=+12 Pin=D1-2
Removed Pin From Net: NetName=GND Pin=D2-1
Removed Pin From Net: NetName=GND Pin=D3-1
Removed Pin From Net: NetName=+12 Pin=J2-1
Removed Pin From Net: NetName=GND Pin=J2-2
Removed Pin From Net: NetName=NetF1_2 Pin=R1-2
Removed Pin From Net: NetName=VCC Pin=R2-2
Removed Pin From Net: NetName=GND Pin=U2-1
Removed Pin From Net: NetName=VCC Pin=U2-2
Removed Pin From Net: NetName=NetF1_2 Pin=U2-3
Removed Pin From Net: NetName=VCC Pin=U2-4
Change Component Designator: OldDesignator=C11 NewDesignator=C6
Change Component Designator: OldDesignator=C12 NewDesignator=C7
Change Component Designator: OldDesignator=C13 NewDesignator=C8
Change Component Designator: OldDesignator=C14 NewDesignator=C9
Change Component Designator: OldDesignator=C15 NewDesignator=C10
Change Component Designator: OldDesignator=C16 NewDesignator=C11
Change Component Designator: OldDesignator=C17 NewDesignator=C12
Change Component Designator: OldDesignator=C18 NewDesignator=C13
Change Component Designator: OldDesignator=C19 NewDesignator=C14
Change Component Designator: OldDesignator=C20 NewDesignator=C15
Change Component Designator: OldDesignator=C21 NewDesignator=C16
Change Component Designator: OldDesignator=C22 NewDesignator=C17
Change Component Designator: OldDesignator=C23 NewDesignator=C18
Change Component Designator: OldDesignator=C24 NewDesignator=C19
Change Component Designator: OldDesignator=C25 NewDesignator=C20
Change Component Designator: OldDesignator=C26.1 NewDesignator=C21.1
Change Component Designator: OldDesignator=C26.2 NewDesignator=C21.2
Change Component Designator: OldDesignator=C26.3 NewDesignator=C21.3
Change Component Designator: OldDesignator=C26.4 NewDesignator=C21.4
Change Component Designator: OldDesignator=C26.5 NewDesignator=C21.5
Change Component Designator: OldDesignator=C26.6 NewDesignator=C21.6
Change Component Designator: OldDesignator=C26.7 NewDesignator=C21.7
Change Component Designator: OldDesignator=C26.8 NewDesignator=C21.8
Change Component Designator: OldDesignator=C26.9 NewDesignator=C21.9
Change Component Designator: OldDesignator=C26.10 NewDesignator=C21.10
Change Component Designator: OldDesignator=C27.1 NewDesignator=C22.1
Change Component Designator: OldDesignator=C27.2 NewDesignator=C22.2
Change Component Designator: OldDesignator=C27.3 NewDesignator=C22.3
Change Component Designator: OldDesignator=C27.4 NewDesignator=C22.4
Change Component Designator: OldDesignator=C27.5 NewDesignator=C22.5
Change Component Designator: OldDesignator=C27.6 NewDesignator=C22.6
Change Component Designator: OldDesignator=C27.7 NewDesignator=C22.7
